#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A19EB6
#Date Time: 2016-12-07 10:35::39.545

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1.0120000000000005,-0.00086662459014499535,-6.0750149812759329,-4.4104225672577542
1.0308278959420947,-0.00035154674822587145,-6.0765765911942973,-4.4905216145399152
1.0500060781150256,-0.00037042235686644625,-6.0785607014033358,-4.5742818312468216
1.0695410634681057,-9.4839036587454249e-06,-6.0805985296350755,-4.6561375372570097
1.0894394901961439,-0.00011669319903233075,-6.0822502380534074,-4.7435150454433455
1.1097081199951768,-0.0002948429080283202,-6.0838110531439806,-4.8287057455822122
1.1303538403601634,-0.00042917966779725084,-6.0858065949974787,-4.9200380134802373
1.151383666925428,-0.00038650694601064639,-6.0876822560282022,-5.0076503762719256
1.1728047458486484,4.9864353940758669e-05,-6.0898315870285389,-5.1010853249036074
1.1946243562391958,-3.0411242620016316e-05,-6.0917159302124944,-5.1919527899847253
1.2168499126316494,-4.8682299108166396e-05,-6.0937923297305954,-5.2877018755147702
1.2394889675053404,-0.00024224515670936248,-6.0959406580562092,-5.384915114102526
1.2625492138507599,0.00011027513144616799,-6.0980186056382628,-5.4804067012487394
1.2860384877837194,0.0002373567027875277,-6.1008011180215549,-5.5815626035508217
1.3099647712081481,0.00028180797187953894,-6.1028506442212329,-5.6826925289048944
1.3343361945284213,0.00012805841545136305,-6.1056601582047474,-5.7861494342535025
1.3591610394121676,0.00013299977483672684,-6.1081129045777995,-5.8920180696219262
1.3844477416044612,2.1709162837990042e-05,-6.1104932512910448,-5.9960824970104198
1.4102048937943783,0.00017317087631574523,-6.1125141343010601,-6.1058522243302917
1.4364412485348867,0.00029516853470427722,-6.1158635291333097,-6.2193494743961111
1.4631657212170477,0.00050969998197535505,-6.1188321559492334,-6.3312300542387874
1.4903873930995712,-0.00024850688583535088,-6.1214056549881377,-6.44656270917109
1.5181155143947176,-2.6483543746051006e-05,-6.1247554866562375,-6.5626104179763303
1.5463595074116174,1.7565152548432665e-05,-6.1281824724965182,-6.6819854193410748
1.5751289697580744,-0.00039168920683179878,-6.1309698261378731,-6.802810384394661
1.604433677601933,-0.00033046201202206982,-6.1341355200807435,-6.9251368181832191
1.6342835889931195,-0.0005291827115208918,-6.1369479803018994,-7.0521179781436842
1.6646888472475003,-0.00025700123721647284,-6.1411268427686894,-7.1788032914221702
1.6956597843936887,-0.00030378544660616421,-6.1443063448744102,-7.3101461729456219
1.7272069246839623,-0.00040998680909405726,-6.1480051543529379,-7.4399056174844986
1.7593409881705395,-4.9968393253372059e-05,-6.1522142273971658,-7.5744143811144795
1.7920728943483422,-0.0001180782101247485,-6.155929090097068,-7.7135801418812804
1.8254137658655738,-0.00012562892747748942,-6.1602249365778281,-7.8512542441777669
1.8593749323033046,-0.0013248669091722853,-6.163204531758498,-7.9942723995460909
1.8939679340253854,-0.00031339040928804777,-6.1680303521746982,-8.1370425606754395
1.9292045260999835,-0.00035635459213231841,-6.1722285493896258,-8.2834918179189572
1.9650966822940843,-0.00034029303543480594,-6.177487958885135,-8.4318670595263683
2.0016565991422937,-0.00041254938813493479,-6.1821153139636085,-8.5819058882181452
2.0388967000913625,-0.00024768980512411592,-6.1868284543174195,-8.738656671558644
2.0768296397217969,-0.00020633453249559796,-6.192067971474378,-8.8969726854235773
2.1154683080480212,-5.6224074118789938e-05,-6.1970164569753514,-9.0543441814270125
2.1548258348985443,-0.00039942657792805804,-6.201746404929672,-9.215804787587075
2.1949155943776018,-4.1939051864003075e-05,-6.2076602078064136,-9.3819896349385061
2.2357512094098366,-0.00029564769539340736,-6.2133281854944533,-9.5508562427435066
2.2773465563695008,6.5008139774925709e-05,-6.2192808611077721,-9.7192678536302282
2.3197157697957969,-7.4092520461810905e-05,-6.2251014395866413,-9.8946399739589594
2.3628732471959455,-0.00031815613363998812,-6.2305488913869684,-10.070595762420027
2.4068336539376118,-0.00030686732350824336,-6.2374986767469398,-10.247723358451779
2.4516119282323436,-9.4356848847926996e-05,-6.2446051482428446,-10.432969675781592
2.4972232862117463,-0.0004611428177244243,-6.2503914866707246,-10.618906699731852
2.5436832270980805,-0.0001640919066998105,-6.2576155989690152,-10.80943828729977
2.5910075384710578,-0.00024851524277908686,-6.2649060217189492,-10.996568842249062
2.6392123016326368,-0.00010383760285050696,-6.2724291861312835,-11.192721934373068
2.6883138970716036,-0.00031259231018958809,-6.2800796084724722,-11.392424860076375
2.738329010029855,-0.00040429000299107957,-6.2879679420625081,-11.594782855509564
2.7892746361722072,-0.0002882904565823994,-6.2963320230248589,-11.799200709273492
2.8411680873617065,-0.00052218857883817686,-6.3046890371226052,-12.00622031529133
2.8940269975423867,-0.00013241111285630867,-6.3136132262573348,-12.217821842309476
2.9478693287314575,-8.2887943090564811e-05,-6.3227934598046263,-12.434565800841071
3.002713377123007,-0.00024212168410770368,-6.331793845060707,-12.652613804053942
3.0585777793052267,1.513631120084122e-05,-6.3416639748035486,-12.874659308118453
